"server","user_action","details","created_on"
"public.portaler.zone","add","{""conns"":[""Cebitos-Aeaylum"",""Pynites-Ouozlum""],""expires"":""2021-01-17T14:46:56.495Z""}","2021-01-17 11:46:56.50548+00"
"public.portaler.zone","add","{""conns"":[""Cebitos-Aeaylum"",""Smoothfloor Cleft""],""expires"":""2021-01-17T19:46:38.994Z""}","2021-01-17 11:46:39.006165+00"
"public.portaler.zone","add","{""conns"":[""Cebitos-Aeaylum"",""Wyre Forest""],""expires"":""2021-01-18T01:46:22.085Z""}","2021-01-17 11:46:22.148294+00"
"public.portaler.zone","add","{""conns"":[""Huritos-Iuimaum"",""Tilitos-Ataglos""],""expires"":""2021-01-17T17:53:34.381Z""}","2021-01-17 11:45:34.400213+00"
"public.portaler.zone","add","{""conns"":[""Flammog Desolation"",""Huritos-Iuimaum""],""expires"":""2021-01-18T03:21:24.974Z""}","2021-01-17 11:45:24.992119+00"
"public.portaler.zone","add","{""conns"":[""Huritos-Iuimaum"",""Widemoor End""],""expires"":""2021-01-17T16:18:15.725Z""}","2021-01-17 11:45:15.742381+00"
"public.portaler.zone","add","{""conns"":[""Widemoor Portal North"",""Widemoor Shore""],""expires"":""2021-02-28T19:22:32.130Z""}","2021-01-17 11:43:32.145987+00"
"public.portaler.zone","add","{""conns"":[""Quaent-In-Nusis"",""Synitos-Ofurlos""],""expires"":""2021-01-18T05:43:21.450Z""}","2021-01-17 11:43:21.480899+00"
"public.portaler.zone","add","{""conns"":[""Cebos-Avemlum"",""Synitos-Ofurlos""],""expires"":""2021-01-17T23:42:51.356Z""}","2021-01-17 11:42:51.372712+00"
"public.portaler.zone","add","{""conns"":[""Southgrove Copse"",""Synitos-Ofurlos""],""expires"":""2021-01-17T17:42:41.001Z""}","2021-01-17 11:42:41.01472+00"
"public.portaler.zone","add","{""conns"":[""Synitos-Ofurlos"",""Whitebank Portal North""],""expires"":""2021-01-17T23:42:13.466Z""}","2021-01-17 11:42:13.474306+00"
"public.portaler.zone","add","{""conns"":[""Kindlegrass Steppe"",""Synitos-Ofurlos""],""expires"":""2021-01-18T00:42:00.144Z""}","2021-01-17 11:42:00.157912+00"
"public.portaler.zone","add","{""conns"":[""Huritos-Iuimaum"",""Xerites-Oxoulum""],""expires"":""2021-01-17T17:06:07.874Z""}","2021-01-17 11:35:07.882208+00"
"public.portaler.zone","add","{""conns"":[""Dryvein Oasis"",""Xerites-Oxoulum""],""expires"":""2021-01-17T21:32:57.941Z""}","2021-01-17 11:34:57.957627+00"
"public.portaler.zone","add","{""conns"":[""Timberscar Dell"",""Xerites-Oxoulum""],""expires"":""2021-01-17T15:11:50.106Z""}","2021-01-17 11:34:50.116323+00"
"public.portaler.zone","add","{""conns"":[""Widemoor Portal North"",""Xerites-Oxoulum""],""expires"":""2021-01-17T19:14:43.306Z""}","2021-01-17 11:29:43.319581+00"
"public.portaler.zone","add","{""conns"":[""Suyites-Avuotum"",""Xebos-Exostum""],""expires"":""2021-01-18T02:26:57.989Z""}","2021-01-17 11:26:58.001155+00"
"public.portaler.zone","add","{""conns"":[""Casos-Aximam"",""Xebos-Exostum""],""expires"":""2021-01-17T19:37:20.603Z""}","2021-01-17 11:26:20.619246+00"
"public.portaler.zone","add","{""conns"":[""Wetgrave Bog"",""Xebos-Exostum""],""expires"":""2021-01-18T04:03:33.468Z""}","2021-01-17 11:25:33.487126+00"
"public.portaler.zone","add","{""conns"":[""Wetgrave Bog"",""Wetgrave Marsh""],""expires"":""2021-02-28T19:00:10.975Z""}","2021-01-17 11:21:10.988898+00"
"public.portaler.zone","add","{""conns"":[""Piritos-Opabrom"",""Qiitun-Si-Vynsom""],""expires"":""2021-01-17T15:55:11.484Z""}","2021-01-17 11:20:11.49942+00"
"public.portaler.zone","add","{""conns"":[""Hynitos-Oyezam"",""Piritos-Opabrom""],""expires"":""2021-01-17T20:41:01.234Z""}","2021-01-17 11:20:01.250201+00"
"public.portaler.zone","add","{""conns"":[""Pirites-Unatam"",""Piritos-Opabrom""],""expires"":""2021-01-18T00:02:50.693Z""}","2021-01-17 11:16:50.699297+00"
"public.portaler.zone","add","{""conns"":[""Pirites-Unatam"",""Whitepeak Spring""],""expires"":""2021-01-18T03:42:40.728Z""}","2021-01-17 11:16:40.741116+00"
"public.portaler.zone","add","{""conns"":[""Pirites-Unatam"",""Wetgrave Marsh""],""expires"":""2021-01-17T21:58:30.213Z""}","2021-01-17 11:16:30.224954+00"
"public.portaler.zone","add","{""conns"":[""Sandmount Ascent"",""Tasitos-Obayam""],""expires"":""2021-01-17T19:41:15.224Z""}","2021-01-17 11:10:15.238706+00"
"public.portaler.zone","add","{""conns"":[""Flatrock Cliffs"",""Tasitos-Obayam""],""expires"":""2021-01-17T17:07:07.554Z""}","2021-01-17 11:10:07.572354+00"
"public.portaler.zone","add","{""conns"":[""Peritos-Oconun"",""Tasitos-Obayam""],""expires"":""2021-01-17T20:57:09.198Z""}","2021-01-17 11:08:09.386405+00"
"public.portaler.zone","add","{""conns"":[""Peritos-Oconun"",""Tonos-Aboysum""],""expires"":""2021-01-17T22:11:00.920Z""}","2021-01-17 11:08:00.935801+00"
"public.portaler.zone","add","{""conns"":[""Foros-Uzazlum"",""Peritos-Oconun""],""expires"":""2021-01-17T23:13:53.613Z""}","2021-01-17 11:07:53.619104+00"
"public.portaler.zone","add","{""conns"":[""Foros-Uzazlum"",""Suyos-Onaytum""],""expires"":""2021-01-18T02:36:03.512Z""}","2021-01-17 10:01:03.525323+00"
"public.portaler.zone","add","{""conns"":[""Springsump Basin"",""Suyos-Onaytum""],""expires"":""2021-01-17T13:26:54.278Z""}","2021-01-17 10:00:54.300868+00"
"public.portaler.zone","add","{""conns"":[""Dryvein Steppe"",""Suyos-Onaytum""],""expires"":""2021-01-17T22:49:46.187Z""}","2021-01-17 10:00:46.209756+00"
"public.portaler.zone","delete","{""id"":32925,""size"":2,""conn1"":""Fort Sterling"",""conn2"":""Secent-Si-Odetis"",""expires"":""2021-01-17T13:59:08.099+00:00"",""server_id"":4,""created_by"":2643,""created_on"":""2021-01-17T09:59:08.100485+00:00""}","2021-01-17 09:59:25.362534+00"
"public.portaler.zone","add","{""conns"":[""Fort Sterling"",""Secent-Si-Odetis""],""expires"":""2021-01-17T13:59:08.099Z""}","2021-01-17 09:59:08.113383+00"
"public.portaler.zone","add","{""conns"":[""Soues-Uzurtum"",""Suyos-Onaytum""],""expires"":""2021-01-18T01:25:54.109Z""}","2021-01-17 09:58:54.122121+00"
"public.portaler.zone","delete","{""id"":32920,""size"":7,""conn1"":""Seritos-Onaytum"",""conn2"":""Soues-Uzurtum"",""expires"":""2021-01-18T01:26:39.331+00:00"",""server_id"":4,""created_by"":1625,""created_on"":""2021-01-17T09:52:39.33252+00:00""}","2021-01-17 09:58:37.380992+00"
"public.portaler.zone","add","{""conns"":[""Seritos-Onaytum"",""Soues-Uzurtum""],""expires"":""2021-01-18T01:26:39.331Z""}","2021-01-17 09:52:39.344823+00"
"public.portaler.zone","add","{""conns"":[""Peritos-Oconun"",""Soues-Uzurtum""],""expires"":""2021-01-17T22:34:29.616Z""}","2021-01-17 09:52:29.628535+00"
"public.portaler.zone","add","{""conns"":[""Conitos-Uruxtum"",""Qiient-Al-Vynsis""],""expires"":""2021-01-17T22:13:09.553Z""}","2021-01-17 09:38:09.57058+00"
"public.portaler.zone","add","{""conns"":[""Conitos-Uruxtum"",""Oakcopse""],""expires"":""2021-01-17T22:28:32.003Z""}","2021-01-17 09:37:32.013701+00"
"public.portaler.zone","add","{""conns"":[""Conitos-Uruxtum"",""Pen Garn""],""expires"":""2021-01-17T17:19:50.816Z""}","2021-01-17 09:35:50.825852+00"
"public.portaler.zone","add","{""conns"":[""Honites-Izizaum"",""Soues-Uzurtum""],""expires"":""2021-01-17T23:59:16.678Z""}","2021-01-17 09:33:16.689997+00"
"public.portaler.zone","add","{""conns"":[""Darkbough Snag"",""Fonos-Oleraum""],""expires"":""2021-01-17T10:37:02.598Z""}","2021-01-17 09:32:02.60911+00"
"public.portaler.zone","add","{""conns"":[""Battlebrae Plain"",""Fonos-Oleraum""],""expires"":""2021-01-18T03:39:51.387Z""}","2021-01-17 09:31:51.401264+00"
"public.portaler.zone","add","{""conns"":[""Fonos-Oleraum"",""Secent-Si-Qinsas""],""expires"":""2021-01-17T15:04:23.567Z""}","2021-01-17 09:31:23.577238+00"
"public.portaler.zone","add","{""conns"":[""Fonos-Oleraum"",""Runnelvein Slough""],""expires"":""2021-01-17T17:49:03.752Z""}","2021-01-17 09:31:03.761369+00"
"public.portaler.zone","add","{""conns"":[""Fonos-Oleraum"",""Silos-Apenlum""],""expires"":""2021-01-18T03:25:13.131Z""}","2021-01-17 09:22:13.148872+00"
"public.portaler.zone","add","{""conns"":[""Honites-Izizaum"",""Silos-Apenlum""],""expires"":""2021-01-17T13:00:00.737Z""}","2021-01-17 09:22:00.748764+00"
"public.portaler.zone","add","{""conns"":[""Everwinter Passage"",""Synitos-Availos""],""expires"":""2021-01-17T13:29:39.379Z""}","2021-01-17 09:17:39.391962+00"
"public.portaler.zone","add","{""conns"":[""Silos-Apenlum"",""Synitos-Availos""],""expires"":""2021-01-17T12:21:29.579Z""}","2021-01-17 09:17:29.59239+00"
"public.portaler.zone","add","{""conns"":[""Hightree Portal East"",""Synitos-Availos""],""expires"":""2021-01-18T02:09:07.836Z""}","2021-01-17 09:17:07.851676+00"
"public.portaler.zone","add","{""conns"":[""Tetitos-Ayoslum"",""Xilos-Osayam""],""expires"":""2021-01-17T14:15:14.227Z""}","2021-01-17 07:58:14.245043+00"
"public.portaler.zone","add","{""conns"":[""Sectun-Oc-Odesis"",""Tetitos-Ayoslum""],""expires"":""2021-01-17T08:09:52.542Z""}","2021-01-17 07:55:52.55877+00"
"public.portaler.zone","add","{""conns"":[""Ponitos-Aiayrom"",""Sectun-In-Qinsom""],""expires"":""2021-01-17T12:20:24.605Z""}","2021-01-17 07:41:24.617248+00"
